method,fold,acc
mlp,1,89.71702880242547
mlp,2,93.393536121673
mlp,3,93.08380797396258
mlp,4,90.84276729559748
mmit,1,80.77311773623042
mmit,2,80.65589353612167
mmit,3,88.52725793327909
mmit,4,90.26415094339625
linear_L1reg,1,79.2066700353714
linear_L1reg,2,76.87737642585552
linear_L1reg,3,78.89883374016816
linear_L1reg,4,77.0314465408805
AFT_XGboost,1,88.47902981303689
AFT_XGboost,2,93.3222433460076
AFT_XGboost,3,92.21589368049904
AFT_XGboost,4,93.78616352201256
lstm-linear,1,91.71298635674584
lstm-linear,2,95.29383659818444
lstm-linear,3,93.16517493897476
lstm-linear,4,93.38364779874216
lstm-square,1,88.37796867104598
lstm-square,2,91.61490683229812
lstm-square,3,90.99538920531596
lstm-square,4,86.33962264150944
rnn-square,1,85.2956038403234
rnn-square,2,87.21930243669375
rnn-square,3,87.5237320314619
rnn-square,4,83.72327044025157
